epoch,block_reward_BTRF,blocks_in_epoch,epoch_emission_BTRF,duration_days,cumulative_supply_BTRF,cumulative_pct_of_cap
0,25.0,420000,10500000.0,729.1666666666666,10500000.0,50.0
1,12.5,420000,5250000.0,729.1666666666666,15750000.0,75.0
2,6.25,420000,2625000.0,729.1666666666666,18375000.0,87.5
3,3.125,420000,1312500.0,729.1666666666666,19687500.0,93.75
4,1.5625,420000,656250.0,729.1666666666666,20343750.0,96.875
5,0.78125,420000,328125.0,729.1666666666666,20671875.0,98.4375
6,0.390625,420000,164062.5,729.1666666666666,20835937.5,99.21875
7,0.1953125,420000,82031.25,729.1666666666666,20917968.75,99.609375
8,0.09765625,420000,41015.625,729.1666666666666,20958984.375,99.8046875
9,0.048828125,420000,20507.8125,729.1666666666666,20979492.1875,99.90234375
10,0.0244140625,420000,10253.90625,729.1666666666666,20989746.09375,99.951171875
11,0.01220703125,420000,5126.953125,729.1666666666666,20994873.046875,99.9755859375
12,0.006103515625,420000,2563.4765625,729.1666666666666,20997436.5234375,99.98779296875
13,0.0030517578125,420000,1281.73828125,729.1666666666666,20998718.26171875,99.993896484375
14,0.00152587890625,420000,640.869140625,729.1666666666666,20999359.130859375,99.9969482421875
15,0.000762939453125,420000,320.4345703125,729.1666666666666,20999679.565429688,99.99847412109375
16,0.0003814697265625,420000,160.21728515625,729.1666666666666,20999839.782714844,99.99923706054688
17,0.00019073486328125,420000,80.108642578125,729.1666666666666,20999919.891357422,99.99961853027344
18,9.5367431640625e-05,420000,40.0543212890625,729.1666666666666,20999959.94567871,99.99980926513672
19,4.76837158203125e-05,420000,20.02716064453125,729.1666666666666,20999979.972839355,99.99990463256836
20,2.384185791015625e-05,420000,10.013580322265625,729.1666666666666,20999989.986419678,99.99995231628418
21,1.1920928955078125e-05,420000,5.0067901611328125,729.1666666666666,20999994.99320984,99.99997615814209
22,5.9604644775390625e-06,420000,2.5033950805664062,729.1666666666666,20999997.49660492,99.99998807907104
23,2.9802322387695312e-06,420000,1.2516975402832031,729.1666666666666,20999998.74830246,99.99999403953552
24,1.4901161193847656e-06,420000,0.6258487701416016,729.1666666666666,20999999.37415123,99.99999701976776
25,7.450580596923828e-07,420000,0.3129243850708008,729.1666666666666,20999999.687075615,99.99999850988388
26,3.725290298461914e-07,420000,0.1564621925354004,729.1666666666666,20999999.843537807,99.99999925494194
27,1.862645149230957e-07,420000,0.0782310962677002,729.1666666666666,20999999.921768904,99.99999962747097
28,9.313225746154785e-08,420000,0.0391155481338501,729.1666666666666,20999999.960884452,99.99999981373549
29,4.6566128730773926e-08,420000,0.01955777406692505,729.1666666666666,20999999.980442226,99.99999990686774
30,2.3283064365386963e-08,420000,0.009778887033462524,729.1666666666666,20999999.990221113,99.99999995343387
31,1.1641532182693481e-08,420000,0.004889443516731262,729.1666666666666,20999999.995110556,99.99999997671694
